ID,BUSINESS_ID,SKU_ID,QUANTITY,DUE_DATE,PRIORITY,ORDER_DATE
DEM0001,B008,SKU004,250,2024-03-15,HIGH,2024-02-20
DEM0002,B008,SKU005,180,2024-04-10,MEDIUM,2024-03-15
DEM0003,B009,SKU004,300,2024-03-20,HIGH,2024-02-25
DEM0004,B009,SKU005,200,2024-05-01,HIGH,2024-04-05
DEM0005,B010,SKU004,150,2024-04-15,MEDIUM,2024-03-20
DEM0006,B010,SKU005,100,2024-05-10,LOW,2024-04-15
DEM0007,B011,SKU004,120,2024-04-20,LOW,2024-03-25
DEM0008,B011,SKU005,80,2024-05-15,MEDIUM,2024-04-20
DEM0009,B008,SKU004,200,2024-06-01,HIGH,2024-05-05
DEM0010,B009,SKU004,180,2024-06-15,MEDIUM,2024-05-20
DEM0011,B008,SKU005,150,2024-07-01,HIGH,2024-06-05
DEM0012,B010,SKU004,100,2024-07-15,LOW,2024-06-20
DEM0013,B009,SKU005,160,2024-08-01,HIGH,2024-07-05
DEM0014,B011,SKU004,90,2024-08-15,MEDIUM,2024-07-20
DEM0015,B008,SKU004,220,2024-09-01,HIGH,2024-08-05
DEM0016,B010,SKU005,80,2024-09-15,LOW,2024-08-20
DEM0017,B009,SKU004,250,2024-10-01,HIGH,2024-09-05
DEM0018,B011,SKU005,70,2024-10-15,MEDIUM,2024-09-20
DEM0019,B008,SKU005,130,2024-11-01,MEDIUM,2024-10-05
DEM0020,B009,SKU004,160,2024-11-15,HIGH,2024-10-20
