ID,NAME,TYPE,SITE_ID,VALUE_TIER,CONTACT_EMAIL,RELIABILITY_SCORE
B015,WaferTech Taiwan,SUPPLIER,S015,,sales@wafertech.tw,0.97
B016,GlassCorp Korea,SUPPLIER,S016,,orders@glasscorp.kr,0.89
B017,CellChem China,SUPPLIER,S017,,supply@cellchem.cn,0.78
B001,ChipTech Industries,COMPONENT_MANUFACTURER,S001,,sales@chiptech.com,0.95
B002,DisplayCorp,COMPONENT_MANUFACTURER,S002,,orders@displaycorp.kr,0.88
B003,PowerCell Ltd,COMPONENT_MANUFACTURER,S003,,supply@powercell.cn,0.81
B012,SiliconWorks Corp,COMPONENT_MANUFACTURER,S012,,sales@siliconworks.sg,0.91
B013,ScreenTech Japan,COMPONENT_MANUFACTURER,S013,,orders@screentech.jp,0.93
B014,EnergyPlus India,COMPONENT_MANUFACTURER,S014,,supply@energyplus.in,0.85
B004,TechAssembly Co,MANUFACTURER,S004,,production@techassembly.vn,0.9
B005,GlobalBuild Inc,MANUFACTURER,S005,,ops@globalbuild.mx,0.85
B006,West Coast DC,WAREHOUSE,S006,,logistics-west@company.com,
B007,East Coast DC,WAREHOUSE,S007,,logistics-east@company.com,
B008,MegaCorp Enterprise,BUYER,S008,HIGH,procurement@megacorp.com,
B009,TechGiant Inc,BUYER,S009,HIGH,sourcing@techgiant.com,
B010,LocalMart Retail,BUYER,S010,MEDIUM,buyer@localmart.com,
B011,QuickShop Electronics,BUYER,S011,LOW,orders@quickshop.com,
B026,Asia Pacific DC East,WAREHOUSE,S026,,logistics-ap-east@company.com,
B027,Asia Pacific DC West,WAREHOUSE,S027,,logistics-ap-west@company.com,
B028,TechRetail APAC,BUYER,S028,MEDIUM,procurement@techretail-apac.hk,
B029,MobileHub APAC,BUYER,S029,MEDIUM,orders@mobilehub-apac.th,
B018,EuroChip Germany,SUPPLIER,S018,,sales@eurochip.de,0.94
B019,EuroDisplay Czech,SUPPLIER,S019,,orders@eurodisplay.cz,0.91
B020,EuroCell Poland,SUPPLIER,S020,,supply@eurocell.pl,0.88
B024,EuroAssembly Poland,MANUFACTURER,S024,,ops@euroassembly.pl,0.87
B025,EU Distribution Hub,WAREHOUSE,S025,,logistics-eu-hub@company.com,
B021,EMEA DC North,WAREHOUSE,S021,,logistics-emea-north@company.com,
B022,EMEA DC Central,WAREHOUSE,S022,,logistics-emea-central@company.com,
B023,EMEA DC South,WAREHOUSE,S023,,logistics-emea-south@company.com,
B030,EuroRetail West,BUYER,S030,MEDIUM,buyer@euroretail-west.fr,
B031,EuroRetail East,BUYER,S031,MEDIUM,orders@euroretail-east.de,
