zone_id,name,region,population,covered,assigned_site_id,assigned_site
Z01,Downtown Core,Central,18000,1,T02,North Water Tank
Z05,University District,Central,14500,1,T04,Campus Microcell Cluster
Z03,East Village,East,12500,1,T04,Campus Microcell Cluster
Z08,Airport District,South,11000,1,T06,Airport Perimeter
Z09,South Market,South,10300,1,T06,Airport Perimeter
Z02,North End,North,9500,1,T02,North Water Tank
Z07,West Hills,West,8200,1,T02,North Water Tank
Z06,Industrial Park,East,6000,1,T06,Airport Perimeter
Z10,Lakeside,West,5700,0,,
Z04,Riverfront,Central,7200,0,,
