id,name,event,required_os,min_cpu,min_memory_gb,estimated_minutes
1,build-api,push,linux,2,4,12
2,build-frontend,push,linux,2,4,8
3,build-mobile-ios,push,macos,3,14,25
4,build-mobile-android,push,linux,4,8,18
5,lint-and-format,push,linux,2,4,3
6,unit-tests-api,push,linux,4,8,15
7,unit-tests-frontend,push,linux,2,4,10
8,integration-tests,push,linux,8,16,30
9,e2e-tests-chrome,push,linux,4,8,20
10,e2e-tests-safari,push,macos,3,14,22
11,security-scan,push,linux,2,4,8
12,docker-build,push,linux,4,16,14
13,deploy-staging,push,linux,2,4,5
14,deploy-production,push,linux,2,4,5
15,performance-tests,schedule,linux,8,32,45
16,dependency-audit,schedule,linux,2,4,6
17,nightly-build,schedule,linux,4,16,20
18,ios-testflight,push,macos,12,30,35
19,windows-installer,push,windows,2,7,25
20,release-notes,push,linux,2,4,4
