ID,NAME,CITY,REGION,COUNTRY,SITE_TYPE
S015,WaferTech Fab,Hsinchu,APAC,Taiwan,FACTORY
S016,GlassCorp Plant,Asan,APAC,South Korea,FACTORY
S017,CellChem Facility,Ningde,APAC,China,FACTORY
S001,ChipTech Factory,Taipei,APAC,Taiwan,FACTORY
S002,DisplayCorp Plant,Seoul,APAC,South Korea,FACTORY
S003,PowerCell Facility,Shenzhen,APAC,China,FACTORY
S012,SiliconWorks Factory,Singapore,APAC,Singapore,FACTORY
S013,ScreenTech Plant,Osaka,APAC,Japan,FACTORY
S014,EnergyPlus Facility,Bangalore,APAC,India,FACTORY
S004,TechAssembly Factory,Ho Chi Minh,APAC,Vietnam,FACTORY
S026,Asia Pacific DC East,Singapore,APAC,Singapore,DISTRIBUTION_CENTER
S027,Asia Pacific DC West,Bangkok,APAC,Thailand,DISTRIBUTION_CENTER
S028,TechRetail APAC,Hong Kong,APAC,Hong Kong,OFFICE
S029,MobileHub APAC,Bangkok,APAC,Thailand,STORE
S005,GlobalBuild Plant,Monterrey,AMERICAS,Mexico,FACTORY
S006,West Coast DC,Los Angeles,AMERICAS,USA,DISTRIBUTION_CENTER
S007,East Coast DC,Newark,AMERICAS,USA,DISTRIBUTION_CENTER
S008,MegaCorp HQ,San Francisco,AMERICAS,USA,OFFICE
S009,TechGiant Campus,Seattle,AMERICAS,USA,OFFICE
S010,LocalMart Store,Denver,AMERICAS,USA,STORE
S011,QuickShop Location,Chicago,AMERICAS,USA,STORE
S018,EuroChip Factory,Dresden,EMEA,Germany,FACTORY
S019,EuroDisplay Plant,Brno,EMEA,Czech Republic,FACTORY
S020,EuroCell Facility,Kraków,EMEA,Poland,FACTORY
S024,EuroAssembly Factory,Wrocław,EMEA,Poland,FACTORY
S025,EU Distribution Hub,Düsseldorf,EMEA,Germany,DISTRIBUTION_CENTER
S021,EMEA DC North,Amsterdam,EMEA,Netherlands,DISTRIBUTION_CENTER
S022,EMEA DC Central,Vienna,EMEA,Austria,DISTRIBUTION_CENTER
S023,EMEA DC South,Milan,EMEA,Italy,DISTRIBUTION_CENTER
S030,EuroRetail West,Paris,EMEA,France,STORE
S031,EuroRetail East,Berlin,EMEA,Germany,STORE
