ID,NAME,HYPERSCALER,REQUESTED_MW,SUBSTATION_ID,ANNUAL_REVENUE_PER_MW,PUE,IS_AI_WORKLOAD,COOLING_TYPE,RENEWABLE_REQUIREMENT_PCT,QUEUE_POSITION,STATUS
DCR-001,Azure GPU West,Microsoft,300,SUB-003,85000,1.25,true,liquid,60,1,pending
DCR-002,GCP TPU Farm,Google,250,SUB-005,92000,1.1,true,liquid,100,2,pending
DCR-003,AWS Trainium Center,Amazon,400,SUB-007,78000,1.3,true,air,50,3,pending
DCR-004,Meta MTIA Cluster,Meta,350,SUB-003,81000,1.2,true,liquid,75,4,pending
DCR-005,xAI Colossus Expansion,xAI,500,SUB-005,95000,1.15,true,immersion,30,5,pending
DCR-006,Oracle Cloud Region,Oracle,150,SUB-007,72000,1.4,false,air,40,6,pending
DCR-007,CoreWeave GPU Cloud,CoreWeave,280,SUB-003,88000,1.18,true,liquid,45,7,pending
DCR-008,Lambda Inference Hub,Lambda Labs,120,SUB-005,68000,1.35,true,air,20,8,pending
DCR-009,Crusoe Clean Compute,Crusoe Energy,200,SUB-007,76000,1.12,true,immersion,100,9,pending
DCR-010,Apple Private Cloud,Apple,180,SUB-002,90000,1.22,false,liquid,80,10,pending
