id,name,lab_id,workload_type,reservation_model,gpu_count_required,mem_required_gb,gpu_type_preferred,duration_hours,strategic_value_usd
WL-0001,Claude-Next pretrain shard 01,LAB-001,pretrain,block_reservation,320,80,H100,720.0,2485894.38
WL-0002,Claude-Next pretrain shard 02,LAB-001,pretrain,block_reservation,256,141,H200,168.0,511902.26
WL-0003,Claude-Next pretrain shard 03,LAB-001,pretrain,block_reservation,384,80,H100,720.0,3081164.24
WL-0004,Claude-Next pretrain shard 04,LAB-001,pretrain,block_reservation,384,141,H200,168.0,632317.19
WL-0005,Claude-Next pretrain shard 05,LAB-001,pretrain,block_reservation,512,192,GB200,336.0,2013988.94
WL-0006,GPT-Next pretrain shard 01,LAB-002,pretrain,block_reservation,320,80,H100,336.0,1098675.83
WL-0007,GPT-Next pretrain shard 02,LAB-002,pretrain,block_reservation,256,141,H200,720.0,2084755.91
WL-0008,GPT-Next pretrain shard 03,LAB-002,pretrain,block_reservation,256,192,GB200,336.0,948958.7
WL-0009,GPT-Next pretrain shard 04,LAB-002,pretrain,block_reservation,384,80,H100,504.0,2299748.05
WL-0010,GPT-Next pretrain shard 05,LAB-002,pretrain,block_reservation,320,141,H200,336.0,1194927.17
WL-0011,Grok-Next pretrain shard 01,LAB-003,pretrain,block_reservation,384,80,H100,168.0,692355.42
WL-0012,Grok-Next pretrain shard 02,LAB-003,pretrain,block_reservation,768,192,GB200,504.0,4594559.71
WL-0013,Grok-Next pretrain shard 03,LAB-003,pretrain,block_reservation,320,141,H200,336.0,1019487.31
WL-0014,Grok-Next pretrain shard 04,LAB-003,pretrain,block_reservation,256,141,H200,336.0,753318.27
WL-0015,Grok-Next pretrain shard 05,LAB-003,pretrain,block_reservation,320,80,H100,168.0,532375.59
WL-0016,Aya-70B SFT customer 01,LAB-005,finetune,block_reservation,64,80,H100,72.0,29083.19
WL-0017,Aya-70B SFT customer 02,LAB-005,finetune,block_reservation,96,141,H200,72.0,41037.23
WL-0018,Aya-70B SFT customer 03,LAB-005,finetune,block_reservation,64,141,H200,168.0,66258.5
WL-0019,Aya-70B SFT customer 04,LAB-005,finetune,block_reservation,48,80,H100,72.0,18728.95
WL-0020,Aya-70B SFT customer 05,LAB-005,finetune,block_reservation,128,80,H100,24.0,22612.3
WL-0021,Aya-70B SFT customer 06,LAB-005,finetune,block_reservation,64,141,H200,72.0,33832.8
WL-0022,Aya-70B SFT customer 07,LAB-005,finetune,block_reservation,64,80,H100,72.0,24972.55
WL-0023,Aya-70B SFT customer 08,LAB-005,finetune,block_reservation,64,80,H100,72.0,29552.43
WL-0024,Aya-70B SFT customer 09,LAB-005,finetune,block_reservation,32,80,H100,168.0,37116.74
WL-0025,Aya-70B SFT customer 10,LAB-005,finetune,block_reservation,32,80,H100,72.0,13620.9
WL-0026,Aya-70B SFT customer 11,LAB-005,finetune,block_reservation,48,80,H100,48.0,13003.21
WL-0027,Aya-70B SFT customer 12,LAB-005,finetune,block_reservation,128,80,H100,168.0,122611.9
WL-0028,Aya-70B SFT customer 13,LAB-005,finetune,block_reservation,128,80,H100,48.0,36131.52
WL-0029,Aya-70B SFT customer 14,LAB-005,finetune,block_reservation,32,141,H200,72.0,16938.3
WL-0030,Aya-70B SFT customer 15,LAB-005,finetune,block_reservation,64,141,H200,48.0,22862.01
WL-0031,Aya-70B SFT customer 16,LAB-005,finetune,block_reservation,48,80,H100,24.0,6071.21
WL-0032,Aya-70B SFT customer 17,LAB-005,finetune,block_reservation,96,141,H200,48.0,25269.42
WL-0033,Aya-70B SFT customer 18,LAB-005,finetune,block_reservation,128,80,H100,24.0,21777.29
WL-0034,Aya-70B SFT customer 19,LAB-005,finetune,block_reservation,32,80,H100,48.0,9069.37
WL-0035,Aya-70B SFT customer 20,LAB-005,finetune,block_reservation,96,141,H200,48.0,24251.67
WL-0036,Aya-70B SFT customer 21,LAB-005,finetune,block_reservation,48,80,H100,168.0,62300.38
