id,name
1,Eva Kumar
2,Samuel Luke Fildes
3,Evelynn D. Smith
4,Charlotte Brontë
5,John Cuming Walters
6,Emma Orczy
7,H. G. Wells
8,Onésimo Colavidas
9,Chavdar Georgiev
10,Arthur Conan Doyle
11,Alexandre Dumas
12,Thomas Hardy
13,Daniel Defoe
14,Mark Twain
15,Όμηρος
16,Gilbert Keith Chesterton
17,John Buchan
18,Henry David Thoreau
19,Washington Irving
20,Aldous Huxley
21,Oscar Wilde
22,Henry James
23,Jane Austen
24,Lewis Carroll
25,Фёдор Михайлович Достоевский
26,Niccolò Machiavelli
27,L. Frank Baum
28,Jonathan Swift
29,Stephen Crane
30,Emily Brontë
31,Charles Dickens
32,Charles Bernard Derosne
33,Mary Shelley
34,Robert Louis Stevenson
35,Лев Толстой
36,Lionel Giles
37,F. Scott Fitzgerald
38,Agatha Christie
39,Stephen F. Kaufman
40,Dashiell Hammett
41,Dante Alighieri
42,孙武 (Sun Tzu)
43,Bram Stoker
44,Antoine de Saint-Exupéry
45,Voltaire
46,Charlotte Perkins Gilman
47,J. J. Grandville
48,Petrus Borel
49,Sheridan Le Fanu
50,N. C. Wyeth
51,Miguel de Cervantes Saavedra
52,William Shakespeare
