id,name,substation_id,capacity_needed,revenue,connection_cost
1,Stargate_Phase2,5,300,1650000000,450000000
2,HyperCloud_DFW,2,200,800000000,280000000
3,MetaAI_West,1,250,1300000000,380000000
4,Azure_South,3,150,570000000,200000000
5,CoreWeave_TX,4,200,840000000,310000000
6,DataBank_Colo,2,80,176000000,85000000
7,CyrusOne_ATX,6,120,300000000,160000000
8,Lambda_GPU,5,180,900000000,320000000
9,Switch_Permian,1,200,700000000,260000000
10,QTS_Houston,4,150,420000000,190000000
11,Oracle_SA,3,180,648000000,250000000
12,Flexential_ATX,6,100,230000000,120000000
13,xAI_Permian,1,350,2030000000,520000000
14,DigitalRealty_DFW,2,120,288000000,150000000
