ID,NAME,VOLTAGE_KV,MAX_CAPACITY_MW,CURRENT_LOAD_MW,LATITUDE,LONGITUDE
SUB-001,Dallas North,345,1200,780,32.7767,-96.797
SUB-002,Houston East,345,1500,1020,29.7604,-95.3698
SUB-003,Phoenix Central,230,900,610,33.4484,-112.074
SUB-004,Denver West,230,800,520,39.7392,-104.9903
SUB-005,Chicago Loop,345,1400,950,41.8781,-87.6298
SUB-006,Atlanta South,230,1000,680,33.749,-84.388
SUB-007,Portland Green,115,600,390,45.5152,-122.6784
SUB-008,Las Vegas Strip,230,750,510,36.1699,-115.1398
SUB-009,Kansas City Hub,345,1100,720,39.0997,-94.5786
SUB-010,Minneapolis North,230,850,560,44.9778,-93.265
SUB-011,Salt Lake Valley,115,500,320,40.7608,-111.891
SUB-012,San Antonio Grid,230,950,640,29.4241,-98.4936
