ID,SUPPLIER_BUSINESS_ID,CUSTOMER_BUSINESS_ID,SKU_ID,QUANTITY,ORIGIN_SITE_ID,DESTINATION_SITE_ID,OPERATION_ID,ORDER_DATE,SHIP_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,STATUS,DELAY_DAYS,SHIP_MONTH,SHIP_QUARTER,FISCAL_QUARTER,FISCAL_YEAR,IS_LATE
TSHP06662,B027,B029,SKU005,204,S027,S029,OP027,2024-10-04,2024-10-06,2024-10-07,2024-10-12,DELAYED,5,10,4,Q4-2024,2024,1
TSHP03336,B017,B003,SKU008,299,S017,S003,OP005,2023-02-04,2023-02-06,2023-02-07,2023-02-07,DELIVERED,0,2,1,Q1-2023,2023,0
TSHP00574,B021,B030,SKU005,292,S021,S030,OP036,2022-07-12,2022-07-14,2022-07-16,2022-07-16,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP02428,B006,B010,SKU004,102,S006,S010,OP030,2022-01-31,2022-02-02,2022-02-04,2022-02-04,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP02820,B021,B030,SKU004,122,S021,S030,OP036,2023-08-21,2023-08-23,2023-08-25,2023-08-25,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP01783,B025,B023,SKU004,142,S025,S023,OP023,2022-11-20,2022-11-21,2022-11-24,2022-11-23,DELIVERED,0,11,4,Q4-2022,2022,0
TSHP04079,B002,B004,SKU002,292,S002,S004,OP010,2023-03-23,2023-03-24,2023-03-26,2023-03-26,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP05912,B012,B004,SKU001,300,S012,S004,OP012,2024-10-27,2024-10-28,2024-11-01,2024-10-31,DELIVERED,0,10,4,Q4-2024,2024,0
TSHP05095,B007,B008,SKU004,162,S007,S008,OP032,2024-06-09,2024-06-12,2024-06-16,2024-06-15,DELIVERED,0,6,2,Q2-2024,2024,0
TSHP06813,B019,B020,SKU007,157,S019,S020,OP008,2024-05-11,2024-05-13,2024-05-14,2024-05-14,DELIVERED,0,5,2,Q2-2024,2024,0
