id,policy_id,address,occupancy_class,year_built,square_feet,fire_protection_class,replacement_value
1,1,100 Beacon St Boston MA,OFFICE,2010,12000,2,5000000
2,2,200 LaSalle St Chicago IL,OFFICE,1995,8000,4,3000000
3,3,300 Main St Dallas TX,AUTO_REPAIR,2000,5000,5,2000000
4,3,400 Oak Ave Houston TX,AUTO_REPAIR,2005,5500,5,2000000
5,4,500 Industry Dr Detroit MI,MANUFACTURING,1985,40000,4,10000000
6,5,600 Market St Miami FL,RETAIL,2018,3500,4,1000000
7,6,700 Cannabis Way Denver CO,CANNABIS_RETAIL,2020,8500,4,4000000
8,7,800 Foundry Rd Pittsburgh PA,MANUFACTURING,1948,55000,3,8000000
9,7,810 Industrial Pkwy Cleveland OH,MANUFACTURING,2000,30000,3,4000000
10,8,900 Highway 10 Phoenix AZ,GAS_STATION,2010,2500,4,1500000
11,8,910 Old US 80 Tucson AZ,GAS_STATION,2015,2500,4,1500000
