ID,NAME,LOAD_ZONE_ID,CONTRACTED_DEMAND_MW,FLEXIBILITY_PCT,CURTAILMENT_COST_PER_MWH
CUST-001,Lone Star Steel,ZONE-001,450,15,120
CUST-002,Gulf Petrochemical,ZONE-001,680,8,200
CUST-003,Heartland Manufacturing,ZONE-002,520,12,95
CUST-004,Great Lakes Auto,ZONE-002,380,20,85
CUST-005,Rocky Mountain Mining,ZONE-003,290,25,75
CUST-006,Desert Data Centers,ZONE-003,350,5,250
CUST-007,Peachtree Hospital Net,ZONE-004,180,3,500
CUST-008,Dixie Aluminum,ZONE-004,410,18,110
CUST-009,Cascade Tech Campus,ZONE-005,260,10,150
CUST-010,Pacific Timber Mills,ZONE-005,190,30,60
